id,action,action_classification,action_level,action_summary,authorities_link,country,create_date,data_notes,date,date_initiated_by_firm,date_posted,date_terminated,date_updated,determined_cause,documents,icij_notes,number,reason,source,status,target_audience,type,uid,uid_hash,url,slug,device_id,created_at,updated_at
1,,,,Recall,https://www.titck.gov.tr/,TUR,,,4/4/2016,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2016/294   &   FA24MAR2016,41570514,https://web.archive.org/web/20170817053524/http://www.titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2016-294%20SGB.pdf,tur-cell-dyn-emerald-cleanser,1,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
2,,,,Recall,https://www.titck.gov.tr/,TUR,,,9/20/2016,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2016/844   &   FSCA2016-02,415f04f4,https://web.archive.org/web/20170817104322/http://titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2016-844%20sgb.pdf,tur-tecnis-monofocal-1-piece-tecnis-1-piece-iol-with-the-tecnis-itec-preloaded-delivery-system,2,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
3,,,,Recall,https://www.titck.gov.tr/,TUR,,,5/9/2016,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2016/437   &   2016018,2caa03df,https://web.archive.org/web/20170818050616/http://titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2016-437-SGB.pdf,tur-centurion-fms-package-for-centurion-vision-system,3,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
4,,,,Recall,https://www.titck.gov.tr/,TUR,,,12/19/2016,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2016/1188   &   002/AS60130/17.00,666f0625,https://web.archive.org/web/20171014025042/http://www.titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2016-1188%20SGB.pdf,tur-focusforce-intraocular-foldable-lenses,4,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
5,,,,Recall,https://www.titck.gov.tr/,TUR,,,2/20/2017,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2017/242   &   02R06-21 / 02R06-31,6a8d063c,https://web.archive.org/web/20171014000531/http://www.titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2017-242%20SGB.pdf,tur-cholesterol-hdl-direct,5,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
6,,,,Recall,https://www.titck.gov.tr/,TUR,,,2/8/2016,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2016/117   &   Afc-fsca-2015-001,6d9c06ff,https://web.archive.org/web/20170817123339/http://titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2016-117-SGB.pdf,tur-blood-glucose-test-strip,6,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
7,,,,Recall,https://www.titck.gov.tr/,TUR,,,2/26/2016,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2016/70 & EIF1507-34,291a03fb,https://web.archive.org/web/20170817132536/http://titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2016-70%20SGB.pdf,tur-super-arrow-flex-r-percutaneous-sheath-introducer-set,7,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
8,,,,Recall,https://www.titck.gov.tr/,TUR,,,8/16/2016,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2016/156   &   EIF1507-33,3b7804af,https://web.archive.org/web/20170815184818/http://titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2016-156%20SGB.pdf,tur-catheter-introducer,8,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
9,,,,Recall,https://www.titck.gov.tr/,TUR,,,4/28/2016,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2016/156   &   EIF1507-33,3b7804af,https://web.archive.org/web/20170815184818/http://titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2016-156%20SGB.pdf,tur-catheter-introducer-3b7804af,8,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
10,,,,Recall,https://www.titck.gov.tr/,TUR,,,2/9/2016,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2016/124   &   ASPENR1,2ee10470,https://web.archive.org/web/20170817112452/http://titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2016-124-SGB.pdf,tur-22g-bi-manual-aspiration-pull-handle-0-38mm-port,9,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
11,,,,Recall,https://www.titck.gov.tr/,TUR,,,9/29/2016,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2016/924   &   RECALL2015-12-14 LS/TK,88e207a8,https://web.archive.org/web/20170817075113/http://titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2016-924%20SGB.pdf,tur-spinocath,10,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
12,,,,Recall,https://www.titck.gov.tr/,TUR,,,10/23/2015,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2015/1053   &   26319,28e403ac,https://web.archive.org/web/20170817065858/http://titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2015-1053%20SGB.pdf,tur-access-cea,11,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
13,,,,Recall,https://www.titck.gov.tr/,TUR,,,11/24/2015,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2015/1100   &   BDB-15-652,3f0404c5,https://web.archive.org/web/20170817064822/http://titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2015-1100%20sgb.pdf,tur-cd-22-s-hcl-1-apc,12,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
14,,,,Recall,https://www.titck.gov.tr/,TUR,,,1/12/2016,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2016/20 & BDB-15-657,284303eb,https://web.archive.org/web/20170817124652/http://titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2016-20%20SGB.pdf,tur-fmc7-fitc,13,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
15,,,,Recall,https://www.titck.gov.tr/,TUR,,,3/13/2017,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2017/330   &   PAS-17-959,3ba704c3,https://web.archive.org/web/20171208225246/http://www.titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2017-330%20SGB.pdf,tur-bd-vacutainer-plastic-sst-ii-advance-plus-blood-collection-tube,14,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
16,,,,Recall,https://www.titck.gov.tr/,TUR,,,3/10/2016,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2016/243   &   FSCA 2802,36e20481,https://web.archive.org/web/20170817160136/http://titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2016-243%20SGB.pdf,tur-vidas-toxo-igm,15,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
17,,,,Recall,https://www.titck.gov.tr/,TUR,,,2/9/2016,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2016/131   &   FSCA 2709,369f0483,https://web.archive.org/web/20170817160421/http://titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2016-130-131.pdf,tur-etest-ptc-piperacillin-tazobactam-4mg-ml,16,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
18,,,,Recall,https://www.titck.gov.tr/,TUR,,,2/9/2016,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2016/130   &   FSCA 2709,368e0482,https://web.archive.org/web/20170817160421/http://titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2016-130-131.pdf,tur-etest-pip-tazo-con-4-ptc-0-016-256-g-ml,17,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
19,,,,Recall,https://www.titck.gov.tr/,TUR,,,1/26/2016,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2016/244   &   FSCA 2806,36f70486,https://web.archive.org/web/20170817122026/http://titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2016-244%20SGB.pdf,tur-thioglycolate-broth-resazurin,18,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
20,,,,Recall,https://www.titck.gov.tr/,TUR,,,5/9/2016,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2016/427   &   FSCA 2893,373b048f,https://web.archive.org/web/20170818072009/http://titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2016-427%20SGB.pdf,tur-m-hinton-2-sheep-blood-90-20pl,19,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
21,,,,Recall,https://www.titck.gov.tr/,TUR,,,8/3/2016,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2016/804   &   HHE CL 15-001,4adc0543,https://web.archive.org/web/20170817101933/http://titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2016-804%20SGB.pdf,tur-acda-a-anticoagulant-citrate-dextrose-solution,20,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
22,,,,Recall,https://www.titck.gov.tr/,TUR,,,4/22/2016,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2016/361   &   HHE 15-20,363b0463,https://web.archive.org/web/20170817041706/http://titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2016-361%20SGB.pdf,tur-sports-medicine-and-trauma-products,21,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
23,,,,Recall,https://www.titck.gov.tr/,TUR,,,10/10/2016,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2016/891   &   RA2016-124,3b7204a1,https://web.archive.org/web/20170817142123/http://titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2016-891%20SGB.pdf,tur-vascular-guide-catheter-single-use,22,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
24,,,,Recall,https://www.titck.gov.tr/,TUR,,,8/11/2016,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2016/771   &   91131010AC-FA,48e10546,https://web.archive.org/web/20170815211705/http://titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2016-771-SGB.pdf,tur-lotus-valve-system,23,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
25,,,,Recall,https://www.titck.gov.tr/,TUR,,,2/20/2017,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2017/236   &   1226348-10-25-16-001R,770606ab,https://web.archive.org/web/20171013233452/http://www.titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2017-236%20sgb.pdf,tur-codman-microcoil-delivery-system-and-separation-control-boxes,24,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
26,,,,Recall,https://www.titck.gov.tr/,TUR,,,2/15/2017,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2017/193   &   2017FA0002,3a280490,https://web.archive.org/web/20171014014923/http://www.titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/sgb-2017-193.pdf,tur-check-flo-hemostasis-unit-flexor-radial-access-kits-triforce-peripheral-access-set,25,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
27,,,,Recall,https://www.titck.gov.tr/,TUR,,,2/22/2017,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2017/234   &   Cordis20170216,5a650670,https://web.archive.org/web/20171014002608/http://www.titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2017-234%20sgb.pdf,tur-smart-flex-vascular-stent-system,26,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
28,,,,Recall,https://www.titck.gov.tr/,TUR,,,5/9/2016,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2016/438   &   Cordis20160504_OUS,780907ca,https://web.archive.org/web/20170818070553/http://titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2016-438-SGB.pdf,tur-cordis-precise-pro-rx-nitinol-stent-system,27,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
29,,,,Recall,https://www.titck.gov.tr/,TUR,,,3/4/2016,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2016/201   &   V26989,294103da,https://web.archive.org/web/20170817112619/http://titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2016_201_sgb.pdf,tur-emprint-percutaneous-antenna-thermosphere-tech,28,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
30,,,,Recall,https://www.titck.gov.tr/,TUR,,,5/23/2017,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2017/668   &   FA771,264703aa,https://web.archive.org/web/20171208225308/http://www.titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2017-668-SGB.pdf,tur-endo-peanut-automatic-suture-blunt-dissector-5mm,29,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
31,,,,Recall,https://www.titck.gov.tr/,TUR,,,12/13/2016,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2016/1133   &   SO-2016-626,450d050a,https://web.archive.org/web/20170613070734/http://titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2016-1133%20sgb.pdf,tur-mets-modular-tumour-system,30,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC
32,,,,Recall,https://www.titck.gov.tr/,TUR,,,2/21/2017,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2017/235   &   2183787-02/07/2017-001-r,8cda0769,https://web.archive.org/web/20171014004732/http://www.titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2017-235%20sgb.pdf,tur-mobicath-bi-directional-guiding-sheath,31,2022-08-04 08:28:01 UTC,2022-08-04 08:28:01 UTC
33,,,,Recall,https://www.titck.gov.tr/,TUR,,,3/8/2016,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2016/207   &   P-H-150311-01,496d0523,https://web.archive.org/web/20170817113011/http://titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2016-207%20SGB.pdf,tur-hemocue-hba1c-501,32,2022-08-04 08:28:01 UTC,2022-08-04 08:28:01 UTC
34,,,,Recall,https://www.titck.gov.tr/,TUR,,,12/24/2015,,,,,,,"Turkish data is current through July 2017. All of the data comes from Turkey’s Drugs and Medical Devices Agency (Titck), except for the categories Manufacturer Parent Company and Product Classification.
The Parent Company and the Product Classification were added by ICIJ. 
The parent company information is based on 2017 public records. The device classification information comes from FDA’s Product Classification by Review Panel, based on matches of recall data from the U.S. and Turkey.",,,Turkey Drugs and Medical Devices Agency (Titck),,,Field Safety Notice,2015/1212   &   CAPA15-07,3b4704b3,https://web.archive.org/web/20170817053158/http://titck.gov.tr/PortalAdmin/Uploads/Titck/Dynamic/2015-1212%20SGB.pdf,tur-ibc-aortic-punch,33,2022-08-04 08:28:01 UTC,2022-08-04 08:28:01 UTC
